rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, soc_sec_id
rec-223-org, , waller, 6, tullaroop street, willaroo, st james,4011, wa, 19081209,6988048
rec-223-org, madeline, golder,446, roxon place, pipers river, woodcroft,2070, qld,19470127,6369807
rec-223-org, noah, mason,68, , st james, burwood,2142, sa,19500202,8983319
rec-223-org, ky, kyriacou,30, ash place, kiloran, paddington,2665, nsw,19350528,5592621
rec-122-org, lachlan, berry, 69, giblin street, killarney, bittern,4814, qld, 19990219,7364009
rec-122-org, todd, matthews,8, togo place, rowethorpe, eastwood,2234, vic,19591210,1674842
rec-122-org, charles, crouch,20, book place, rosemount, taree,2220, vic,19970728,6044523
rec-122-org, bianca, ryan,67, de little circuit, march rising, westmead,6163, wa,19091028,4864427
rec-373-org, deakin, sondergeld, 48, goldfinch circuit, kooltuo, canterbury,2776, vic, 19600210,2635962
rec-373-org, dylan, felmingham,240, roderick street, flr 1 the professional centre, toowoomba,3352, wa,19930910,7218257
rec-373-org, joshua, harbottle,1, mainwaring rich circuit, uralgurral, belmont,5098, qld,19930324,2785166
rec-373-org, yasmin, reid,8, gurr street, gunn's gully, san remo,2011, nsw,19530308,5213022
rec-227-org, luke, purdon, 23, ramsay place, mirani, garbutt,2260, vic, 19831024,8099933
rec-227-org, antonio, collier,25, govett place, the rocks, broken hill,2304, qld,19400225,3973395
rec-227-org, isabella, bhalla,453, english court, chobe, heywood,4560, wa,19190318,7747289
rec-227-org, tayah, kiss,20, bateman street, flower growers, vermont south,6163, vic,19741212,6517742
rec-294-org, william, bishop, 21, neworra place, apmnt 65, worongary,6225, qld, 19490130,9773843
rec-294-org, samuel, mahony,132, clift crescent, bonnie doon, booval,2152, nsw,19480217,4347028
rec-294-org, andrew, gielen,315, hayward place, santa lucille, caulfield north,6450, vic,19441228,8670610
rec-294-org, ellie, badger, , dwyer street, glenlee, west lakes shore,3021, nsw,19001210,4656608
rec-344-org, , julius, 52, florey drive, north stirling downs, coolaroo,2259, qld, 19630521,1797144
rec-344-org, ethan, brooker,20, rounsevell street, egerton, the entrance north,4680, wa,19880618,1584458
rec-344-org, molly, schumann,8, doonkuna street, scottsdale, cleveland,6066, sa,19961030,6211905
rec-344-org, mitchell, les,8, dexter street, blythelands, upper coomera,2011, nsw,19430227,9870170
rec-34-org, isabella, lodder, 156, messenger street, tongbong sanctuary, bayswater,4870, vic, 19650714,2790666
rec-34-org, maya, dusek,69, eggleston crescent, knowsley park, cooloongup,3169, wa, ,5836440
rec-34-org, erin, green,6, len waters street, panaroo farm, torquay,5601, qld,19480705,6217407
rec-34-org, mollie, castellari,5, jackie howe crescent, , ardmona,3976, wa,19760616,1378454
rec-478-org, anthony, beazley, 12, birubi place, currandina, flemington,2477, qld, 19730924,6558077
rec-478-org, natalia, harrland,121, edmunds place, brightling park, severnlea,5417, nsw,19800313,1893606
rec-478-org, victoria, dixon,66, cooney court, loma langie, hackham,3165, nsw,19220922,4788064
rec-478-org, jack, collinson,4, blowering street, canobolas caravn park, leeton,4221, nsw,19821223,5810985
rec-225-org, alia, streich, 74, maranoa street, rocky bend, rowville,6152, vic, 19790418,1975340
rec-225-org, ashley, rundle,45, noongale court, shingledale, wangaratta,3356, nsw,19170214,8230842
rec-225-org, heath, pulford,1, forbes street, bullarook park stud, plympton south,2486, nsw,19290623,9996491
rec-225-org, isabella, sanby,18, veale street, wongowal, west swan,3066, nsw,19181010,7757358
rec-452-org, alissa, kilmartin, 37, reveley crescent, crown allot, wolumla,6210, nsw, 19041118,7994055
rec-452-org, emma, nickolai,421, whatmore court, kooraegulla, noble park,6056, qld,19970402,9172360
rec-452-org, judah, jeffries, , condamine street, tinaroo falls, canterbury,2162, nsw,19350906,6982133
rec-452-org, riley, kelley,8185, edmond close, leisure living vlge, mount stuart,2760, wa,19390207,9887277
rec-67-org, jacob, lyden, 25, haddon street, glenview, woodville north,2226, qld, 19910424,6426415
rec-67-org, michael, ryan,344, girdlestone circuit, thousand hills, collie,3134, vic,19660221,8571204
rec-67-org, oscar, ferris,1, shore place, leisure living vlge, hamilton,3128, nt,19080521,3835190
rec-67-org, erin, matthews,10, williamson street, yaraan, kilcoy,4218, qld,19991129,7747845
rec-286-org, evangelia, shepherd, 9, crichton crescent, mirilla, lutwyche,2794, qld, 19900909,3877160
rec-286-org, jordan, boyle,40, loftus street, warra-gan, leichhardt,4556, sa,19671030,2798350
rec-286-org, dominic, flockhart,2, oxley street, clear creek, northgate,3000, wa,19890621,5173538
rec-286-org, kiara, drechsler,2, shackleton circuit, glenview, bulimba,4064, tas,19590816,4345746
rec-335-org, alexa-rose, lowe, 67, ballarat street, the willows, westwood,4011, nsw, 19691123,2624157
rec-335-org, paul, matthews,83, wyselaskie circuit, northpoint, dungog,6123, vic,19171231,6943507
rec-335-org, alisa, hand,14, paul coe crescent, colonial cvan park, riverhills,2192, nsw,19160320,4414842
rec-335-org, noah, reid,10, ellerston avenue, ahwahnee, inglewood,3039, vic,19310305,2293151
rec-439-org, kirra, brock, 93, clarnette place, backwoodlands, orbost,2528, vic, 19231209,5107876
rec-439-org, kira, boromisa,29, mindarie street, torr dean, kenwick,4113, vic,19220720,3178512
rec-439-org, christian, walch,3, coombe street, warraview, plumpton,5008, nsw,19930222,1670806
rec-439-org, mia, kamp,55, jardine street, gonzaga, pooraka,2161, sa,19400617,1084495
